stop_id,feature_type,feature_name
209,6000,Sidewalk at stop
209,6000,Telephone near stop
209,6000,Traffic signal
210,6000,Pavement at back door
210,6000,Schedule display
210,6000,Crosswalk near stop
210,6000,Curb ramp near stop
210,6000,Pavement at front door
210,6000,Lighting at stop
210,6000,Sidewalk at stop
210,6000,Traffic signal
211,6000,Pavement at back door
211,6000,Schedule display
211,6000,Bench near stop
211,6000,Crosswalk near stop
211,6000,Curb ramp near stop
211,6000,Pavement at front door
211,6000,Lighting at stop
211,6000,Lighting at stop
211,6000,Shelter
211,6000,Sidewalk at stop
211,6000,Traffic signal
212,6000,Pavement at back door
212,6000,Bench near stop
212,6000,Crosswalk near stop
